x_V,y_V,V,err_V,x_B,y_B,B,err_B,match_distance_pix,B_minus_V,categoria
68.673,457.396,16.363,0.063,63.546,457.955,16.441,0.058,0.019241881404884555,0.0779999999999994,Rechazada por vecino
278.064,242.351,17.054,0.136,272.905,242.875,17.451,0.162,0.030647185841458324,0.397000000000002,Rechazada por anillo
15.607,184.189,17.344,0.153,10.501,184.766,17.542,0.174,0.04645696933721713,0.1980000000000004,Restante
21.45,259.919,12.867,0.005,16.281,260.512,13.411,0.006,0.04862355396310011,0.5439999999999987,Restante
234.795,135.963,13.351,0.007,229.678,136.459,13.739,0.008,0.06149186938125184,0.3879999999999999,Restante
227.451,47.052,16.781,0.097,222.34,47.539,17.227,0.126,0.07223745565840654,0.4460000000000015,Rechazada por anillo
120.446,326.496,17.03,0.115,115.361,327.093,17.369,0.144,0.07520804478248656,0.33899999999999864,Restante
295.467,398.381,15.895,0.043,290.383,398.879,16.272,0.051,0.08043164799997903,0.3769999999999989,Rechazada por vecino
165.958,237.686,15.022,0.02,160.764,238.304,15.402,0.025,0.08330216083629913,0.379999999999999,Restante
155.42,103.892,17.005,0.114,150.324,104.517,16.931,0.099,0.08847739824385378,-0.07399999999999807,Rechazada por anillo
271.025,149.511,17.075,0.122,265.791,150.054,17.218,0.121,0.08985683056951094,0.14300000000000068,Restante
82.437,71.03,15.364,0.028,77.285,71.491,15.861,0.036,0.09031195934094505,0.4969999999999999,Restante
197.398,293.315,16.048,0.051,192.284,293.778,16.658,0.076,0.09313565375297081,0.610000000000003,Restante
192.576,84.651,12.58,0.004,187.528,85.212,12.953,0.005,0.09701675113091822,0.37299999999999933,Restante
298.232,122.955,16.773,0.097,293.001,123.571,17.028,0.105,0.10820004621075582,0.254999999999999,Restante
21.478,104.346,16.284,0.058,16.29,104.999,16.866,0.084,0.11088845746964845,0.5820000000000007,Restante
279.244,431.067,16.143,0.057,274.107,431.507,16.534,0.07,0.11125308984472151,0.39099999999999824,Rechazada por vecino
295.068,480.779,16.142,0.057,290.035,481.345,16.223,0.053,0.11250444435669688,0.08099999999999952,Rechazada por vecino
184.422,190.883,12.276,0.004,179.401,191.446,12.87,0.005,0.1240816263594295,0.5939999999999994,Rechazada por anillo
104.586,136.127,16.925,0.115,99.436,136.808,17.251,0.129,0.1301162941372011,0.3260000000000005,Rechazada por vecino
85.692,352.054,18.089,0.292,80.625,352.711,18.341,0.329,0.1313097483053455,0.25200000000000244,Rechazada por vecino
64.229,20.749,12.892,0.005,58.951,21.336,13.419,0.006,0.13826876002915225,0.527000000000001,Restante
209.484,325.528,14.128,0.011,204.427,326.191,14.484,0.012,0.14212758352968816,0.35599999999999987,Restante
299.42,229.966,13.405,0.007,294.418,230.513,14.207,0.011,0.14255612929648234,0.8020000000000014,Restante
268.22,409.813,17.437,0.18,263.131,410.497,17.243,0.135,0.1441154051446385,-0.19400000000000261,Rechazada por anillo
83.546,165.04,16.194,0.057,78.503,165.488,16.608,0.08,0.14460722665206632,0.4140000000000015,Restante
150.384,287.692,14.668,0.016,145.208,288.386,14.322,0.012,0.14642831010432358,-0.3460000000000001,Restante
215.211,66.473,16.901,0.113,209.928,66.972,17.171,0.117,0.14794002163041192,0.2699999999999996,Rechazada por anillo
271.376,362.216,16.605,0.082,266.151,362.633,16.559,0.07,0.15632098387612406,-0.045999999999999375,Restante
256.612,113.443,17.236,0.137,251.574,113.878,16.975,0.094,0.15747460112664594,-0.26099999999999923,Restante
210.53,406.433,17.202,0.134,205.227,406.959,17.439,0.142,0.16045949644692276,0.23699999999999832,Rechazada por vecino
292.354,275.157,16.298,0.064,287.185,275.545,16.476,0.064,0.1648309740309281,0.17800000000000082,Rechazada por anillo
129.904,364.393,15.174,0.024,124.634,365.064,16.158,0.047,0.17363827343075988,0.9840000000000018,Restante
230.555,71.434,17.81,0.255,225.53,71.858,17.609,0.179,0.17438248191832784,-0.20099999999999696,Rechazada por anillo
241.931,419.237,16.931,0.107,236.703,419.634,16.965,0.09,0.17518062107436824,0.03399999999999892,Restante
207.32,130.258,16.786,0.098,202.282,130.661,16.76,0.086,0.18233554233886942,-0.0259999999999998,Rechazada por anillo
258.543,463.761,16.806,0.103,253.348,464.491,16.981,0.098,0.18598723074445328,0.1750000000000007,Restante
132.558,163.975,17.15,0.131,127.602,164.541,17.592,0.182,0.1890958751533237,0.44200000000000017,Restante
30.47,286.08,16.934,0.108,25.449,286.778,17.223,0.121,0.1919928384081423,0.2889999999999979,Rechazada por anillo
102.427,129.924,16.773,0.093,97.093,130.422,17.059,0.101,0.19677207627100182,0.28600000000000136,Rechazada por vecino
143.515,260.471,15.831,0.039,138.409,260.822,16.076,0.043,0.2036719175536858,0.245000000000001,Restante
271.953,429.382,15.859,0.042,266.602,429.946,16.197,0.05,0.20690879633307796,0.3379999999999992,Rechazada por anillo
255.499,298.436,16.721,0.093,250.401,298.783,16.919,0.095,0.20923252615207985,0.1980000000000004,Restante
191.181,374.032,16.591,0.075,185.845,374.494,17.108,0.107,0.21117113912653157,0.5169999999999995,Restante
289.263,22.569,16.426,0.067,284.001,23.296,16.917,0.092,0.21161817029735663,0.4910000000000032,Restante
45.053,324.257,14.306,0.012,39.708,324.882,14.598,0.013,0.2137200271383126,0.2920000000000016,Restante
43.313,414.193,16.012,0.047,37.949,414.748,16.294,0.054,0.21953644344391143,0.28200000000000003,Rechazada por anillo
187.887,297.469,15.494,0.031,182.71,298.251,16.607,0.074,0.23327505224519274,1.1129999999999995,Restante
194.654,177.409,16.148,0.064,189.53,177.726,16.729,0.08,0.23489625369509576,0.5809999999999995,Rechazada por anillo
105.111,427.491,14.569,0.014,99.732,428.067,14.199,0.01,0.23582885743691404,-0.370000000000001,Restante
266.201,383.627,17.776,0.231,261.239,384.016,17.811,0.203,0.2440291990725161,0.03500000000000014,Rechazada por anillo
251.555,175.652,17.505,0.173,246.625,176.334,17.48,0.153,0.2513389146153095,-0.02499999999999858,Restante
68.519,412.594,17.035,0.116,63.124,413.117,17.173,0.117,0.25206001269538797,0.13799999999999812,Restante
200.379,171.92,16.543,0.086,194.983,172.447,16.661,0.075,0.25264253402781667,0.1180000000000021,Rechazada por anillo
125.02,452.593,17.335,0.156,120.125,453.196,17.339,0.131,0.2548612367544505,0.003999999999997783,Rechazada por vecino
295.612,407.795,16.296,0.07,290.563,408.584,16.717,0.083,0.2564454132948996,0.4209999999999994,Rechazada por vecino
26.885,408.579,16.237,0.059,21.549,408.952,16.359,0.057,0.2614502820805507,0.12200000000000344,Restante
184.653,43.734,17.295,0.155,179.569,44.547,17.302,0.128,0.2688944960388653,0.006999999999997897,Restante
176.913,108.304,16.286,0.058,171.892,108.587,16.377,0.056,0.29508685162167947,0.09099999999999753,Rechazada por anillo
256.417,221.18,17.062,0.122,251.485,221.512,17.295,0.126,0.3051511920343945,0.23300000000000054,Restante
226.107,297.396,17.545,0.189,220.662,297.893,17.717,0.196,0.3053133636118848,0.17199999999999704,Restante
212.11,195.697,16.499,0.081,206.678,196.122,16.674,0.075,0.3138984708468761,0.1750000000000007,Rechazada por anillo
257.981,417.88,17.323,0.171,252.58,418.241,17.714,0.218,0.31920565471180673,0.39099999999999824,Rechazada por anillo
70.097,162.685,16.768,0.094,64.758,162.982,16.851,0.093,0.3199160046011948,0.08299999999999841,Restante
147.901,271.766,17.677,0.234,143.076,272.35,18.307,0.367,0.32119970423396416,0.629999999999999,Rechazada por anillo
185.572,214.331,15.9,0.048,180.513,214.571,16.165,0.05,0.3225387573610398,0.2649999999999988,Rechazada por anillo
275.064,216.102,17.989,0.277,269.787,216.949,17.855,0.211,0.3243027135255095,-0.13400000000000034,Rechazada por anillo
288.039,121.637,16.796,0.103,282.713,122.475,17.032,0.108,0.3395751021497085,0.23600000000000065,Restante
63.866,229.19,16.574,0.075,58.733,229.391,16.717,0.073,0.3501888776074934,0.14299999999999713,Restante
170.97,455.367,17.293,0.153,165.484,456.008,17.96,0.242,0.3531603743343709,0.6670000000000016,Restante
254.71,476.559,17.609,0.212,249.483,477.458,17.519,0.175,0.3576454249672584,-0.09000000000000341,Rechazada por anillo
249.469,51.43,17.235,0.15,243.966,51.912,17.763,0.195,0.36507978580030254,0.5280000000000022,Restante
231.652,151.147,16.991,0.126,226.583,151.332,17.303,0.14,0.3737061011008385,0.31200000000000117,Rechazada por anillo
206.395,237.609,16.664,0.083,201.256,238.534,16.847,0.076,0.37404043899019124,0.18299999999999983,Restante
42.034,180.557,16.22,0.06,36.665,180.795,16.531,0.068,0.38518729210607394,0.31099999999999994,Restante
299.349,211.254,17.932,0.32,294.433,211.492,17.586,0.173,0.387532256721952,-0.3460000000000001,Rechazada por anillo
290.647,194.681,16.339,0.066,285.645,194.859,16.711,0.076,0.39929343846350585,0.3719999999999999,Rechazada por vecino
239.709,88.293,18.089,0.3,234.516,89.253,17.711,0.199,0.41186557272973795,-0.3780000000000001,Restante
260.613,495.347,16.546,0.083,255.493,495.465,16.75,0.089,0.43369257544946876,0.20400000000000063,Rechazada por anillo
296.475,72.258,17.445,0.169,291.288,73.252,17.872,0.22,0.4450339874661256,0.4269999999999996,Restante
18.688,28.324,17.393,0.156,13.226,28.527,17.393,0.147,0.4710735080642935,0.0,Restante
272.539,257.62,16.956,0.117,267.45,257.68,17.126,0.119,0.4941267549930738,0.1700000000000017,Rechazada por vecino
182.764,351.628,18.221,0.351,177.69,351.678,18.341,0.339,0.5059360137408422,0.120000000000001,Restante
277.576,286.628,17.23,0.137,272.721,287.603,17.607,0.181,0.5134065153462852,0.3769999999999989,Rechazada por anillo
227.316,311.919,17.596,0.222,221.868,312.909,17.903,0.232,0.5336977140667057,0.3069999999999986,Rechazada por anillo
33.079,85.267,18.011,0.282,27.439,85.618,17.916,0.216,0.5343409492075271,-0.09499999999999886,Restante
190.476,70.467,15.917,0.048,184.869,70.738,16.689,0.08,0.5406535397091246,0.7720000000000002,Rechazada por anillo
198.512,279.496,18.865,0.67,193.135,280.59,17.56,0.169,0.5906820210570272,-1.3049999999999997,Rechazada por anillo
196.897,74.633,13.803,0.01,191.733,74.545,15.49,0.031,0.6392974659733873,1.6869999999999994,Rechazada por anillo
276.45,341.561,17.546,0.191,271.981,342.045,18.734,0.47,0.6788145917700892,1.1880000000000024,Restante
104.801,403.356,16.989,0.116,99.484,404.602,17.276,0.12,0.7160874597421675,0.28699999999999903,Rechazada por anillo
202.576,396.153,17.04,0.114,197.205,397.44,17.625,0.161,0.7700637960584691,0.5850000000000009,Rechazada por vecino
164.67,471.505,17.907,0.256,160.285,471.855,17.446,0.147,0.7856470263419764,-0.4609999999999985,Restante
204.712,404.201,16.608,0.077,199.342,405.515,17.101,0.1,0.7956250687352409,0.49299999999999855,Rechazada por vecino
244.274,344.899,16.946,0.112,239.385,346.234,16.915,0.089,0.8245824701022808,-0.03100000000000236,Restante
183.667,183.22,12.413,0.004,178.534,182.848,13.46,0.007,0.9230716386066701,1.0470000000000006,Rechazada por vecino
288.097,441.083,18.169,0.332,282.185,440.992,17.846,0.235,1.0006099389872012,-0.3230000000000004,Rechazada por anillo
