imagen,threshold,n_detectadas,n_falsas,n_reales,n_perdidas,comentario
m92010,3,254,,,,
m92010,4,151,,,,
m92010,5,119,,,,
m92010,6,96,,,,
m92010,7,81,,,,
m92010,8,72,,,,
m92010,10,56,,,,
m92011,4,145,,,,
m92011,5,92,,,,
m92011,6,76,,,,
m92011,7,66,,,,
m92011,8,56,,,,
m92011,10,40,,,,
m92014,3,203,,,,
m92014,4,104,,,,
m92014,5,80,,,,
m92014,6,60,,,,
m92014,7,53,,,,
m92014,8,46,,,,
m92014,10,32,,,,
m92015,3,310,,,,
m92015,4,140,,,,
m92015,5,107,,,,
m92015,6,83,,,,
m92015,7,72,,,,
m92015,8,62,,,,
m92015,10,49,,,,
