id_estrella_1,x_1,y_1,id_estrella_2,x_2,y_2,distancia_pix
2,178.199,5.66,4,187.455,6.703,9.314579163869938
16,190.476,70.467,18,196.897,74.633,7.654070616345258
27,183.097,105.908,29,176.913,108.304,6.6319433049446355
35,102.427,129.924,38,104.586,136.127,6.567989799017657
41,116.514,150.312,43,123.943,154.833,8.696521258526303
49,200.379,171.92,52,194.654,177.409,7.931251225374215
52,194.654,177.409,58,197.578,186.726,9.765053251262902
54,183.667,183.22,59,184.422,190.883,7.700103505797839
60,290.647,194.681,63,285.565,198.5,6.357002831523661
77,272.539,257.62,78,278.8,258.525,6.326068763458097
83,147.86,271.788,84,147.901,271.766,0.046529560496520475
86,198.512,279.481,87,198.512,279.496,0.014999999999986358
88,277.576,286.628,91,277.576,286.628,0.0
105,85.692,352.054,107,85.601,352.047,0.0912688336728271
114,202.576,396.153,116,204.712,404.201,8.326631972172182
115,295.467,398.381,119,295.612,407.795,9.415116621688806
116,204.712,404.201,118,210.53,406.433,6.231448306774277
128,271.953,429.382,129,279.244,431.067,7.483174860979849
130,288.097,441.083,131,293.65,446.728,7.918448964285857
132,124.958,452.527,135,125.02,452.593,0.09055385138139507
134,75.532,451.673,137,68.673,457.396,8.933006772638207
141,295.068,480.779,143,293.37,487.719,7.144704612508476
