x,y,mag,merr,dist_vecino_mas_cercano,indice_vecino_mas_cercano
144.234,3.39,,,34.04077151005835,2
178.199,5.66,,,9.314579163869938,4
249.583,6.0,,,14.272718872029941,5
187.455,6.703,,,9.314579163869938,2
259.085,16.65,19.395,1.063,14.272718872029941,3
64.229,20.749,12.892,0.005,46.16669043802035,9
243.119,24.965,20.484,2.701,18.00145496897402,5
289.263,22.569,16.426,0.067,30.752987578445122,5
18.688,28.324,17.393,0.156,46.16669043802035,6
184.653,43.734,17.295,0.155,27.359835854770765,16
227.451,47.052,16.781,0.097,10.682910932887172,12
238.12,47.597,17.593,0.218,10.682910932887172,11
249.469,51.43,17.235,0.15,11.978801692990821,12
215.211,66.473,16.901,0.113,16.126061422430457,17
82.437,71.03,15.364,0.028,26.392726062307393,23
190.476,70.467,15.917,0.048,7.654070616345258,18
230.555,71.434,17.81,0.255,16.126061422430457,14
196.897,74.633,13.803,0.01,7.654070616345258,16
296.475,72.258,17.445,0.169,50.09442820314452,33
167.64,76.192,17.902,0.27,23.542695703763417,16
192.576,84.651,12.58,0.004,10.91014963233777,18
33.079,85.267,18.011,0.282,22.329161247122567,26
103.404,87.06,19.235,0.893,23.819571553661497,28
239.709,88.293,18.089,0.3,19.18388899571722,17
155.42,103.892,17.005,0.114,19.05706902962782,31
21.478,104.346,16.284,0.058,22.329161247122567,22
183.097,105.908,16.444,0.072,6.6319433049446355,29
88.437,105.59,18.211,0.336,23.819571553661497,23
176.913,108.304,16.286,0.058,6.6319433049446355,27
256.612,113.443,17.236,0.137,30.30237464292197,24
142.398,117.806,17.235,0.141,19.05706902962782,25
193.4,120.518,,,16.98923188375507,36
288.039,121.637,16.796,0.103,10.277858385870124,34
298.232,122.955,16.773,0.097,10.277858385870124,33
102.427,129.924,16.773,0.093,6.567989799017657,38
207.32,130.258,16.786,0.098,16.98923188375507,32
234.795,135.963,13.351,0.007,15.505879691265502,42
104.586,136.127,16.925,0.115,6.567989799017657,35
309.174,148.571,,,25.17890549646669,50
271.025,149.511,17.075,0.122,32.594980917312995,51
116.514,150.312,17.154,0.137,8.696521258526303,43
231.652,151.147,16.991,0.126,15.505879691265502,37
123.943,154.833,17.623,0.2,8.696521258526303,41
152.0,161.477,18.637,0.477,19.601820527695896,47
70.097,162.685,16.768,0.094,13.653630506206044,46
83.546,165.04,16.194,0.057,13.653630506206044,45
132.558,163.975,17.15,0.131,12.56162366097631,43
221.473,165.47,18.227,0.355,17.57157847206675,42
200.379,171.92,16.543,0.086,7.931251225374215,52
312.403,173.542,,,16.080852713708953,55
251.555,175.652,17.505,0.173,28.229538713907477,62
194.654,177.409,16.148,0.064,7.931251225374215,49
42.034,180.557,16.22,0.06,26.675414767159666,56
183.667,183.22,12.413,0.004,7.700103505797839,59
298.303,181.274,17.571,0.242,15.438976164240955,60
15.607,184.189,17.344,0.153,26.675414767159666,53
110.757,184.189,,,21.738944523596363,64
197.578,186.726,15.677,0.044,9.765053251262902,52
184.422,190.883,12.276,0.004,7.700103505797839,54
290.647,194.681,16.339,0.066,6.357002831523661,63
212.11,195.697,16.499,0.081,17.07799358824099,58
266.689,199.482,,,18.61088458402771,67
285.565,198.5,16.734,0.09,6.357002831523661,60
113.579,205.744,20.615,3.155,21.738944523596363,57
299.349,211.254,17.932,0.32,18.712134699173173,70
185.572,214.331,15.9,0.048,23.476183761420828,59
275.064,216.102,17.989,0.277,18.61088458402771,62
256.417,221.18,17.062,0.122,19.326062532238733,67
63.866,229.19,16.574,0.075,38.34128721104704,82
299.42,229.966,13.405,0.007,18.712134699173173,65
235.557,235.712,17.168,0.125,25.422797328382234,68
165.958,237.686,15.022,0.02,30.498606869822776,66
206.395,237.609,16.664,0.083,29.223635177711873,71
15.073,239.113,,,21.76133647090636,79
278.064,242.351,17.054,0.136,14.652560254098978,76
265.705,250.222,17.019,0.122,10.071442796342538,77
272.539,257.62,16.956,0.117,6.326068763458097,78
278.8,258.525,17.133,0.148,6.326068763458097,77
21.45,259.919,12.867,0.005,21.76133647090636,74
143.515,260.471,15.831,0.039,12.116683580914398,84
310.503,261.47,,,22.73147971426407,85
75.043,265.866,18.088,0.309,38.34128721104704,69
147.86,271.788,17.722,0.243,0.046529560496520475,84
147.901,271.766,17.677,0.234,0.046529560496520475,83
292.354,275.157,16.298,0.064,18.707568655493397,88
198.512,279.481,18.802,0.632,0.014999999999986358,87
198.512,279.496,18.865,0.67,0.014999999999986358,86
277.576,286.628,17.23,0.137,0.0,91
30.47,286.08,16.934,0.108,27.67233855314726,79
150.384,287.692,14.668,0.016,16.103036732244007,83
