182.418  7.351  INDEF  INDEF
58.934  21.319  13.419  0.007
284.076  23.134  17.056  0.130
222.358  47.451  17.360  0.177
210.173  66.803  17.436  0.183
185.294  70.921  16.378  0.073
77.208  71.537  15.845  0.043
225.572  71.700  17.453  0.186
291.356  73.179  17.333  0.169
192.093  74.522  14.917  0.024
187.535  85.199  12.958  0.005
150.323  104.496  16.634  0.080
16.278  104.801  16.878  0.110
171.873  108.587  16.467  0.073
251.484  114.038  17.184  0.139
283.141  122.374  17.025  0.142
293.058  123.637  16.803  0.111
202.256  130.735  16.689  0.089
229.733  136.452  13.724  0.008
265.759  150.164  17.255  0.155
226.630  151.457  17.577  0.218
89.889  154.838  19.797  1.543
100.529  158.000  INDEF  INDEF
64.882  162.956  17.164  0.147
78.508  165.370  16.758  0.106
127.661  164.482  17.658  0.219
195.104  172.392  16.927  0.116
307.375  174.097  INDEF  INDEF
246.782  176.189  17.291  0.154
36.670  180.763  16.533  0.073
178.472  183.165  13.114  0.007
10.284  184.601  INDEF  INDEF
179.407  191.468  12.866  0.005
285.662  195.036  16.593  0.087
206.940  196.215  16.844  0.099
180.481  214.523  16.116  0.053
251.296  221.393  17.207  0.149
58.664  229.721  16.589  0.078
294.438  230.504  14.236  0.012
160.735  238.276  15.409  0.028
201.344  238.407  16.849  0.104
273.042  242.850  17.243  0.154
267.428  257.555  16.708  0.101
16.223  260.553  13.415  0.007
138.275  260.786  15.984  0.049
305.525  262.305  16.946  0.125
287.211  275.565  16.234  0.061
25.134  286.761  16.983  0.111
145.180  288.425  14.299  0.012
192.279  294.089  16.709  0.096
182.572  298.368  16.476  0.076
220.788  298.073  17.948  0.260
250.415  298.925  17.255  0.158
222.057  312.573  17.563  0.200
246.121  315.478  INDEF  INDEF
308.421  321.581  INDEF  INDEF
39.626  324.921  14.613  0.015
204.453  326.216  14.470  0.015
115.466  326.612  17.645  0.223
239.315  345.624  16.897  0.107
81.202  352.695  17.765  0.239
266.257  362.584  16.664  0.083
124.595  365.207  16.095  0.050
185.670  374.405  17.005  0.120
290.431  399.032  16.061  0.056
21.552  409.027  16.489  0.082
262.734  410.463  17.476  0.216
37.850  414.709  16.384  0.069
252.615  418.484  17.993  0.347
236.850  419.580  17.153  0.139
303.405  418.626  17.475  0.205
99.721  428.164  14.208  0.012
266.627  429.939  16.199  0.056
308.899  450.991  INDEF  INDEF
119.964  453.389  17.242  0.136
63.385  458.027  16.465  0.073
253.287  464.552  17.510  0.189
249.609  477.546  17.629  0.228
289.936  481.626  16.274  0.065
255.478  495.653  16.542  0.079
