182.418  7.351  INDEF  INDEF
58.934  21.319  13.417  0.006
284.076  23.134  16.970  0.117
13.436  28.582  17.747  0.222
179.690  44.140  17.506  0.169
222.358  47.451  17.350  0.162
210.173  66.803  17.854  0.260
185.294  70.921  16.544  0.082
77.208  71.537  15.891  0.042
225.572  71.700  17.962  0.289
291.356  73.179  17.265  0.140
192.093  74.522  14.907  0.022
27.602  85.358  17.891  0.250
187.535  85.199  12.950  0.005
150.323  104.496  16.717  0.087
16.278  104.801  16.732  0.090
171.873  108.587  16.441  0.066
251.484  114.038  17.077  0.119
134.212  114.924  16.974  0.109
312.485  119.541  INDEF  INDEF
187.903  121.461  18.062  0.316
283.141  122.374  16.905  0.107
293.058  123.637  16.888  0.106
202.256  130.735  17.181  0.134
99.352  136.567  17.418  0.163
229.733  136.452  13.722  0.008
303.752  148.581  17.449  0.171
265.759  150.164  17.214  0.133
226.630  151.457  17.738  0.248
89.889  154.838  19.216  0.853
100.529  158.000  19.061  0.751
64.882  162.956  17.097  0.123
78.508  165.370  16.692  0.095
127.661  164.482  17.461  0.174
195.104  172.392  16.845  0.102
307.375  174.097  INDEF  INDEF
246.782  176.189  17.201  0.135
189.775  177.891  16.597  0.091
36.670  180.763  16.577  0.074
178.472  183.165  13.109  0.006
10.284  184.601  INDEF  INDEF
179.407  191.468  12.860  0.005
285.662  195.036  16.439  0.069
206.940  196.215  16.827  0.099
180.481  214.523  16.065  0.050
93.272  218.289  18.277  0.346
251.296  221.393  17.099  0.122
313.287  226.345  INDEF  INDEF
313.287  226.345  INDEF  INDEF
58.664  229.721  16.641  0.078
294.438  230.504  14.230  0.012
306.298  230.680  INDEF  INDEF
160.735  238.276  15.444  0.027
201.344  238.407  16.721  0.089
273.042  242.850  17.178  0.143
267.428  257.555  16.716  0.091
16.223  260.553  13.413  0.007
138.275  260.786  16.062  0.050
305.525  262.305  16.820  0.108
287.211  275.565  16.284  0.061
25.134  286.761  17.057  0.116
272.704  287.471  17.714  0.218
145.180  288.425  14.304  0.012
192.279  294.089  16.767  0.098
182.572  298.368  16.381  0.065
220.788  298.073  17.833  0.240
250.415  298.925  17.195  0.133
277.375  312.358  17.355  0.157
222.057  312.573  18.320  0.399
246.121  315.478  18.807  0.576
308.421  321.581  INDEF  INDEF
39.626  324.921  14.601  0.015
204.453  326.216  14.452  0.014
115.466  326.612  17.427  0.171
239.315  345.624  16.841  0.093
81.202  352.695  17.778  0.213
266.257  362.584  16.666  0.083
124.595  365.207  16.038  0.046
185.670  374.405  16.995  0.107
261.228  384.130  17.485  0.157
56.792  398.495  18.007  0.276
290.431  399.032  16.080  0.051
205.417  406.899  17.327  0.150
290.735  408.628  16.398  0.074
21.552  409.027  16.523  0.076
262.734  410.463  17.649  0.221
63.867  413.112  16.951  0.104
37.850  414.709  16.344  0.064
252.615  418.484  18.245  0.401
236.850  419.580  17.110  0.126
303.405  418.626  17.494  0.192
99.721  428.164  14.198  0.011
266.627  429.939  16.175  0.057
273.797  431.841  16.299  0.061
308.899  450.991  INDEF  INDEF
119.964  453.389  17.208  0.133
63.385  458.027  16.467  0.063
253.287  464.552  17.332  0.161
249.609  477.546  17.552  0.205
270.009  479.668  19.119  0.782
289.936  481.626  16.223  0.057
295.805  486.736  16.230  0.057
255.478  495.653  16.452  0.075
173.889  500.800  INDEF  INDEF
